,Unnamed: 0,tweet
48,48,WalshFreedom Rather see delight approval THAT anything everything Trump GOP represent Serial lies Racism Tribalism Nationalism Xenophobia Sexism sexual predation Hatred Violence Bullying Disrespect Smug ignorance The list goes And 
49,49,NYT Trump era regularly fail spectacular fashion way WaPo never 
50,50,President Trump signed executive order deny Iran Supreme Leader associates access key financial resources support https co qE iUe 
51,51,Let speak plainly The reason Trump supporters give shit kids brown If children white people would demanded camps closed first stories came https co wHVKpgZeAd 
52,52,candidate runs trump might like hell might hate must view lesser two evils lesser evil sure hell baby prison 
53,53,Vox list women accused president various types sexual misconduct harassment The White House position women liars https co GML KxJxM 
54,54,El chavismo encontr su peor enemigo Un peligro mucho corrosivo que Donald Trump su amenaza militar el desabastecimiento de productos indispensables para los venezolanos Por Carlos Pagni https co UKhBHuX BX 
55,55,Trump administration forcing children sleep cement floor aluminum blanket amp lights night Sarah Fabian DOJ argued court good enough amp soap unnecessary Companies making kid day torture https co XuNIVZwkJW 
56,56,NBA A nova velha pol mica dos esportes norte americanos https co UPTXx uyKo 
57,57,Prominent advice columnist E Jean Carroll alleged President Trump sexually assaulted years ago encounter Bergdorf Goodman dressing room claim president denies Why everyone talking https co H mqZGcb 
58,58,Michigan voter Catherine Bolder credits President Trump return manufacturing jobs community I hope son future Bolder added https co qFVeUL tMd 
59,59,If Trump wins stop Earth amp let mf 
60,60,Trump Sanctions Iran Supreme Leader What End https co J ZINzISs 
61,61,Trump trade wars pushing America rural economy toward full blown meltdown years financial hardship causing farmers default loans putting squeeze agricultural lenders https co wGpwQTkAkD 
62,62,bitchute Here video Vimeo https co lcJ gIgy O PV website still linked Drudge video embedded https co w oFqK Y 
63,63,Trump I grab pussy women grabbed us pussy media I guess never know 
64,64,MAGA hat toting Black Trump supporters locking arms MLK monument This one favorite pictures But worry iamcardib amp fake media alternate reality say MAGA hat white hood MLKDay MLK https co WgMzVyXLxX 
65,65,Hey Tweeps TheInvestigation streaming RIGHT NOW I watching star studded performance Mueller report John Lithgow trump It pretty cool Lithgow read Oh God This terrible This end presidency I fucked line https co mFJFIRjjHE 
66,66,grindingdude KeithTalk I know E Jean good looking classy even sexy woman Trump would go She looks like truck hit character type would want date anything like 
67,67,Why media problem calling R Kelly Bill Cosby Out Rapists yet protecting Donald Trump Roy Moore Jeffrey Epstein 
68,68,People vote Trump Johnson believe prosper leadership rather hope hate suffer And lot men hate includes women https co EQp jY q 
69,69,President Trump announces hard hitting sanctions Iran https co bPEQGxj M 
70,70,Today Trump Cartoons https co ouTqiqBthE 
71,71,Pompeo viaja al Golfo porque el candidato Trump necesita una guerra para dar color du programa Un poco de por favor La alianza estaba servida la situaci n es cada vez mas peligrosa en el Golfo angelesespinosa te seguimos Animo https co uObF IdtN 
72,72,Trump said placing new sanctions Iran Ayatollah Khomeini died https co eyvenzcuNs 
73,73,nelizadrew kswortzel ravelry You mean like Bill Clinton enabler Hillary ALL proven lawsuits filed Bill amp payments made women accused NOTHING proven Pres Trump Hasn even court let details get way MY POINT WAS 
74,74,Trump aumenta la tensi n en Oriente Medio aprueba nuevas sanciones que golpear n duro Ir n Una informaci n de eleconomistany https co lCWQRvxJmO https co KyZJoObdo 
75,75,On Friday woman accused president United States rape Isn huge story It sure seems like Evidently much media agree The story make front page many newspapers including New York Times https co pC iQeLR 
76,76,People dying border Moms babies families sacrificing everything We need fix Trump administration hateful immigration policies treat immigrants like animals Immigrant families belong together deserve treated respect https co JB WWd cv 
77,77,realDonaldTrump I know Guilty Not type Guilty Grab Guilty Trump 
78,78,Y stop Was tax payer funded bail regressive ThirdWayTweet Or Trump tax cuts benefits went wealthiest Americans How Walmart amp Amazon paying federal taxes Does increase inequality https co HEAgCOJhuC 
79,79,ChrisPupp maziehirono realDonaldTrump bullshit statement trump wanted could sign executive order make sure kids get need He 
80,80,A Google executive caught camera admitting search giant manipulating algorithm prevent Trump winning election https co vdkXmVSkQw 
81,81,Trump said placing new sanctions Iran Ayatollah Khomeini died https co eyvenzcuNs 
82,82,Let check Mike Pence claims Cleaner air water FALSE More polluted air days Trump first two years office four years Lower emissions FALSE U S carbon emissions went Wrong Mr Vice President And wrong https co GEJcQ AYw 
83,83,Me ARMY hearing Donald Trump visiting South Korea meet president RUN JOONIE RUN https co pfJWO iWeT 
84,84,Donald Trump credibly accused raping woman even make front page The NY Times If Barack Obama accused anything close damn well know would front page news How Trump get away everything Even rape 
85,85,There lobbyist money foreign government money taxpayer money funneled Trump organization MILLIONS dollars go pockets This conflict interest corruption endless completely unacceptable 
86,86,Trump probably works decepticons 
87,87,dead children Trump tried hard stop people getting border This result How many die stop criminalizing newcomers amp instead treat w humanity No one fleeing lives put life danger https co MPDJIw j 
88,88,It time House Representatives begin impeachment inquiry President Donald Trump 
89,89,Any immigration plan must improve jobs wages security Americans writes flesh third principle Donald J Trump In nutshell many people voted vote Democrats 
90,90,Nach dem Abschuss einer US Drohne versucht Sicherheitsberater Bolton US Pr sident Trump zu einer milit rischen Reaktion gegen Iran zu dr ngen Doch der vertraut lieber dem Rat eines TV Moderators https co nMxKwyxKjn 
91,91,THANK GOD PRES TRUMP amp God Bless America https co rkF ajKGWH 
92,92,Nobody votes Trump Johnson believing candidate sincere morally upstanding specimen humanity All required spoiled thugs ever required bare minimum plausible deniability https co jLRRAv uZZ 
93,93,edmondantesx I claim AOC Trump categorically polarization incivility celeb politicians make motions economic populism committed partisans liberals It loud enough seem different 
94,94,Hillary Rosie Now Ilhan Omar Why people law They flagrantly break rules immigration laws tax laws campaign finance laws destroying evidence nothing happens Now Trump control DOJ time apply laws side well 
95,95,nkosi binkytinky ravelry Wow true I checked Debra Twitter feed vile hateful Hate hate hate No wonder worships Trump 
96,96,Erdo Trump Japonya da g r ecek https co yghx SLud 
97,97,A new report Congress research arm confirms Trump Republican tax cut bust watch RBReich break https co DwZbCRbPhG 
98,98,President Trump nominate Hillary Clinton next opening Supreme Court Then finally get investigated 
99,99,Not know I rape I rapist Trump https co dm upJgx 
100,100,Well I like see ol Donny Trump wriggle way THIS jam Trump wriggles way jam easily Ah Well Nevertheless 
101,101,Saying type beyond insensitive Even Trump appalling 
102,102,Gaffeur dilettante menteur la dr lerie un clown le snobisme un fils de bonne famille Correspondant Bruxelles il inventait j des chansons anti Europe Il admire Trump Il devra faire le Brexit Portrait bouriffant de canalbernard https co qLu xp jLZ 
103,103,This end accusations Trump Republican taken seriously Good job CNN https co XdS vUulgQ 
104,104,By tightening sanctions Iran President Trump might merely selected slower path war Analysis stcollinson https co LU wE rdt 
105,105,Obama wears tan suit Republicans That outrageous LGBTQ couple shops wedding cake Republicans That offensive NFL players kneel protest injustice Republicans That disrespectful Trump obstructs justice amp rapes women Republicans That president 
106,106,More outrage https co tTxLmeJwOB 
107,107,Anyone doubts cameras important federal courtrooms watch The monstrosity Trump Administration reeks every spoken line cold transcript never capture https co kBcDAMFa 
108,108,I trying remember last time something blow Left face I I glad Trump President forever fun never end 
109,109,CNN donlemon Trump 
110,110,sharkchar nope Love kids railroading Trump ressession teaching reject brown children 
111,111,To put denying soap amp toothpaste detained migrant children context Over U S taxpayer money gone towards Trump golf trips 
112,112,We watching administration know respond Congressman tedlieu Trump Iran strategy Watch https co IgA H TO SalonTalks DeanObeidallah https co MMhGnC hWR 
113,113,The cruelty IS point If feel separation come Donald Trump CloseTheCamps https co rgJIwJJry 
114,114,Among answers Trump could given Jean Carroll accusations kidding I would never Or rape abhorrent I disgusted someone could think I thing Let alone accuse Instead went type 
115,115,Donald Trump could rape woman middle th Avenue lose supporters 
116,116,marcorubio Unfortunately Trump President I honestly dont think would better Your monster still would good president 
117,117,amandacarpenter maddezmom Trump Cosby Sick dangerous men When I write HuxtableWhiteHouse I jest 
118,118,The terrifying thing Trump administration sorry held kids prison camps sorry got caught https co P w nqyF 
119,119,Trump publicly describing national security adviser dangerous warmonger John Bolton absolutely hawk tells NBC If take whole world one time okay https co ApdZiUFKXw 
120,120,So Gizmodo broke news Facebook suppressed conservative news Jack Dorsey said conservatives Twitter scared speak Google employee candidly talks influencing US elections prevent Trump Situation Media still acting like conspiracy theory 
121,121,If Trump wins stop Earth amp let mf 
122,122,Oh God Please watch end Media happens believe amp amplify every crackpot accusation made Trump hate You get embarrassed What joke Nice work CNN Real pillar integrity https co vplMK nZF 
123,123,Peter Wehner Trump simply serial liar attempting murder idea truth even worse Without truth free society operate The Death Politics p 
124,124,Update day trump supporters throwing toys pram checks card allowed say pro trump things knitting website But snowflakes ok https co NWeg cMqac 
125,125,Private prison giant GEO Group jails employs migrants expects earnings grow billion year Like private prison companies made sizable donations Trump campaign inaugural https co QwYNu dJvc 
126,126,If Trump sexual assault allegations traveling south mph Brett Kavanaugh sexual assault allegations traveling west mph many allegations need people start believing women 
127,127,People dying border Moms babies families sacrificing everything We need fix Trump administration hateful immigration policies treat immigrants like animals Immigrant families belong together deserve treated respect https co JB WWd cv 
128,128,When Dems stop mildly threatening subpoenas threatening contempt threatening something maybe knows depending polls focus groups When LEAD Meanwhile kids cages Trump commits crimes inch closer authoritarianism 
129,129,Trump said placing new sanctions Iran Ayatollah Khomeini died https co eyvenzcuNs 
130,130,The U S imposes new sanctions Iran targeting Supreme Leader Ayatollah Ali Khamenei Zarif response new sanctions tweets hawkish senior U S officials close Trump despise diplomacy thirst war https co q LN FdflV https co bngR mfu 
131,131,It took Trump gop years destroy strong economy left Obama finally achieving goal Another failure tax cuts trickle economics https co FaIkvNMi z 
132,132,I think I safely say NeverTrumpers jealous Trump amp Trumpers We eternally grateful stupid amp gullible enough one However damage inflicted country around world deeply concerning troubling https co fIrCLguigg 
133,133,NebraskaBobert ABC chucktodd Chuck Todd even confront Trump today Meet Press He asked Presidential Library though 
134,134,ChrisP thehill realDonaldTrump accused rape year old girl one Jeffrey Epstein victim She sued Blue Wall Cop released name address phone cell number Trumpeteers threatened rape murder https co w qvZG urQ 
135,135,I recommend Insider Blows Whistle amp Exec Reveals Google Plan Prevent Trump situation Hidden Cam https co QqSJM P Project Veritas 
136,136,sundar iyer I imagine argue trump would even bother start conversation 
137,137,Latest Trump accuser This sexual I think people think rape SEXY Anderson Cooper immediately cuts commercial https co Aje bPsD 
138,138,Me heading South Korea rescue idols Trump https co FavkFC dFq 
139,139,Iran UN ambassador said conditions ripe dialogue United States President Donald Trump imposed new sanctions Tehran https co yN Xc aE 
140,140,Vogue Magazine REFUSES Melania trump cover Melania FURIOUS You know DID Michelle Obama cover THREE TIMES https co Ywxpqghw e https co xeRXQ weGq 
141,141,If Trump wins stop Earth amp let mf 
142,142,Trump Sanctions Iran Supreme Leader What End https co J ZINi tS 
143,143,RichieFed CJ isnowblue The reasons children currently suffering Trump concentration camps administration powerful allies Dems seem get anything merry band demons Its devastating time 
144,144,per day per kid amp even cover toothbrush soap bed https co CGiRNBbWIC 
145,145,President Trump wrong Iran Deal British government made video debunking https co L vN Iqc 
146,146,New York Post story Trump rape allegations removed orders Murdoch lieutenant https co ji oIx ti 
147,147,Trump I grab pussy women grabbed us pussy media I guess never know 
148,148,If Trump wins stop Earth amp let mf 
149,149,New top story Time https co PZ MmVZEA 
150,150,Y stop Was tax payer funded bail regressive ThirdWayTweet Or Trump tax cuts benefits went wealthiest Americans How Walmart amp Amazon paying federal taxes Does increase inequality https co HEAgCOJhuC 
151,151,A Google insider walked us example Hillary emails algorithmic unfairness combated biasing search results Watch video full video site https co w oFqK Y https co PEmKAnlEYX 
152,152,Bama Patriot FACT Other family vacations paid THE FAMILY Currently President Trump lost company money lost revenue business operating profit office except already place hotel 
153,153,I love I type says E Jean Carroll responding Pres Trump public denial accusation sexually assaulted dressing room years ago https co H XN B DWF https co jDD FaL B 
154,154,Im sick google anyway What stupid name https co bw jMDSg 
155,155,It time House Representatives begin impeachment inquiry President Donald Trump 
156,156,bitchute Here video Vimeo https co lcJ gIgy O PV website still linked Drudge video embedded https co w oFqK Y 
157,157,E Jean Carroll recently accused Donald Trump sexually assaulting mid says Trump boasts infamous Access Hollywood video able grope women recalled alleged experience https co vzBWwwf F 
158,158,andrewcbutler SwartzLuke BernieSanders Well govt revenue time high tax cuts generate revenue problem clowns Washington keep spending people money faster collect https co BxVS C PaP 
159,159,The way interview Trump Don move past FIRST lie acknowledges FIRST lie No matter long takes https co RvDHtAY Q 
160,160,https co I ZHyoWoZf 
161,161,essenviews First thing said I never met Now several photos Trump emerged decides type So rapists select victims type How sick sick criminal sitting Oval office 
162,162,Who running America A group American oligarchs think nothing spoiling earth raiding coffers manipulating idiot WH The Shadow Cabinet How Group Powerful Business Leaders Drove Trump Agenda https co n XODFV via RollingStone 
163,163,CNNEE Despu del fraude electoral en Honduras apoyado por el gobierno de Trump esto pasa ahora apoya otro fraude en Guatemala para sacar Cicig https co Ey IO QR b 
164,164,Read story We still live world powerful men https co sjHXU O 
165,165,Well looky Trump latest fake accuser E Jean Carroll Lisa Bloom caught paying several Trump accusers https co F qJKepdFP 
166,166,Gaffeur dilettante menteur la dr lerie un clown le snobisme un fils de bonne famille Correspondant Bruxelles il inventait j des chansons anti Europe Il admire Trump Il devra faire le Brexit Portrait bouriffant de canalbernard https co qLu xp jLZ 
167,167,ZerlinaMaxwell Is high crime misdemeanor Apparently nothing Trump impeachable He probably could shoot someone th Ave And impeached Congress care FBI care Christians care population care 
168,168,https co fnVs ZyP user manual yep 
169,169,To put denying soap amp toothpaste detained migrant children context Over U S taxpayer money gone towards Trump golf trips 
170,170,A Trump official tried argue detained children need soap toothbrushes beds safe sanitary Border Patrol custody https co sRFPZsDbwy 
171,171,gt EstadaoInter N meu tipo diz Trump sobre mulher que acusa de estupro https co I aHWh EMs 
172,172,Religious leaders shut Milwaukee ICE office We resist Trump ICE raids dismantle Trump camps KeepFamiliesTogether https co myEqELyRjP 
173,173,E Jean Carroll I want women know I stand I freeze I paralyzed reaction I could shocking No I fought amp quickly It amp I ran away https co noWHDpHkD https co lID VWM NT 
174,174,It long ago Democrats routinely derided health savings accounts wasteful give aways upper middle class insurance industry HSAs high deductible plans linchpin Trump Ryan health plan 
175,175,jonbaltz GRIP ParkerMolloy LibsInAmerica AOC So MSM unrellenting negative coverage everything Trump whilst providing cover Obama Clinton corrupt DOJ FBI et al Acosta Lemon Maddow NY Times That right wing propaganda Tell us last time CNN reported fairly Trump 
176,176,Thanks assholes Why give coal people eduction green jobs give tax breaks coal owners start green companies Why dumb SenSanders JoeBiden realDonaldTrump AOC POTUS greenenergy https co R XHtv JVY 
177,177,The Trump administration wants ease federal regulation requiring certain health care organizations provide patients limited English skills written notice free translation services https co wsfAd JuP 
178,178,So Gizmodo broke news Facebook suppressed conservative news Jack Dorsey said conservatives Twitter scared speak Google employee candidly talks influencing US elections prevent Trump Situation Media still acting like conspiracy theory 
179,179,Anderson Cooper Tonight TheRidiculist President Trump continued insistence voter fraud significantly impacted election He jilted would prom king walks around day listening soundtrack Broadway Wicked https co yR NHVbQN 
180,180,Sunday shows ABC asked guests Biden allegations NBC asked guests CBS asked guests All three hosts suggested allegations might disqualifying This Sunday new Trump rape allegations mentioned Sunday shows https co HVm TmnoD 
181,181,I know may sound crazy I believe nearing point people going start trying set free rescue kids kept Trump concentration camps I feel guilty already People ask daily possibility 
182,182,A l appel de nombreuses associations des milliers de Marocains ont fil Rabat ce dimanche pour noncer le sommet de Bahre n et le fameux deal du si cle de Trump Certains parlent de manifestants tant les rues de la capitales marocaine taient noires de monde https co E ZmTgRlI 
183,183,Ieri Iraq e Siria domani Iran l America Medio Oriente sa solo distruggere e Trump c entra poco Fallito il nation building Afghanistan e Iraq resta il puro sfascio come Libia e Siria e chiss Iran L involuzione crudele del colonialismo https co fU nd erOP 
184,184,Just Putin wants Trump gets foreign policy ideas Kremlin wants weaker alliances https co W fiLHPwK 
185,185,Trump I grab pussy women grabbed us pussy media I guess never know 
186,186,One Trump Tax Cut Was Meant Help Poor A Billionaire Ended Up Winning Big https co KOTLSll MF 
187,187,Trump vuelve la carga para que Espa pague las bases de Mor n Rota Diario https co VRI JdKH G 
188,188,Google manipulating search results Google Plan Prevent Trump situation Hidden Cam https co KIpt rdLQ 
189,189,This really scary think bias coming social media masters watch If act get worse Insider Blows Whistle amp Exec Reveals Google Plan Prevent Trump situation Hidden Cam https co ZXGzg jVl 
190,190,FUCK ICE FUCK TRUMP FUCK THESE WHITE FOLKS https co NHK DsZT 
191,191,If Trump admin thinks lying conditions refugee children held easy prove us wrong Let cameras 
192,192,Sunday shows ABC asked guests Biden allegations NBC asked guests CBS asked guests All three hosts suggested allegations might disqualifying This Sunday new Trump rape allegations mentioned Sunday shows https co HVm TmnoD 
193,193,Signs economic slowdown mounting bad timing President Trump reelection hopes https co MKW oW 
194,194,bitchute Here video Vimeo https co lcJ gIgy O PV website still linked Drudge video embedded https co w oFqK Y 
195,195,ewarren People saying policies practices cause hardship suffering borders going v long time Before Trump I think started distraction I waiting see guts strength human decency stop 
196,196,In news Trump sanctioned Ayatollah Khomeini today dead since I think Frederick Douglass told https co jR Bhjktvl 
197,197,A Google executive caught camera admitting search giant manipulating algorithm prevent Trump winning election https co vdkXmVSkQw 
198,198,The Trump administration wants ease federal regulation requiring certain health care organizations provide patients limited English skills written notice free translation services https co wsfAd JuP 
199,199,Trump publicly describing national security adviser dangerous warmonger John Bolton absolutely hawk tells NBC If take whole world one time okay https co ApdZiUFKXw 
200,200,President Trump America peace loving nation We seek conflict Iran country I look forward day sanctions finally lifted Iran become peaceful prosperous productive nation https co R dM QL https co OYzDr qx 
201,201,Seth Meyers Says Every Day With Trump Is Like Fight Club TRISH BENDIX https co VlolmujODE https co NTtHprP b 
202,202,Exclusive robreiner SophiaBush StephenKing jvn cutting Trump administration lies Mueller report https co NdtdpAg Qw 
203,203,Trump n ne rd Y zy l n Anla mas tart lmaya devam ediyor ABD D leri Bakan Pompeo nsanlar n neden bu plan n sadece srail ho una gidecek bir plan oldu unu nece ini anl yorum Hasanhhiz anlatt Bahreyn de Filistin par alayacaklar https co hBlu J Oc 
204,204,WC Krm A realDonaldTrump POTUS SecPompeo WhiteHouse The Trump Train Dear GOD The atrocity The murders ppl done complete psychopaths It hate thieves could carry This sick Jewish holocaust 
205,205,La foto de la izquierda son anillos de boda confiscados los presos en los campos de concentraci n del Holocausto La foto de la derecha son rosarios confiscados los inmigrantes en la frontera entre M xico Arizona antes de entrar en los campos de concentraci n de Trump https co O S waUuu 
206,206,Trump signing executive order imposing hard hitting sanctions supreme leader Iran office supreme leader Iran https co EV WK UGVc 
207,207,Project Veritas James O keefe interviews Google Insider Blows Whistle amp High Level Executive Reveals Google Plan Prevent Trump situation Hidden Camera Full Video removed YouTube Watch Project Veritas Website Here gt https co ONHKYd https co Uohemw qOC 
208,208,Sure Trump accused sexual assault women Whatever If number ever reaches I start wonder People MAGA hats 
209,209,QTAnon WHY would post Fact based data MUST accompany emotionally charged statements Americans evaluate Don post retweet BLIND amp EMPTY reactionary SHIT Trump Patriots need Tweets supported logic point factual data MAGA 
210,210,Last surviving prosecutor Nuremberg trials says Trump family separation policy crime humanity https co HJodG Cym Can equally applied people Australia Manus Nauru 
211,211,You get room Trump Hotel DC night https co bc BqmE 
212,212,OMG douche bag Shapiro problem Trump bombing Iran people would die yeah genocidal maniac really said BenShapiro Audience DESTROYS Him w Logic amp YouTube Dislikes Watch KyleKulinski SecularTalk https co uV LRvhlj 
213,213,If Trump sexual assault allegations traveling south mph Brett Kavanaugh sexual assault allegations traveling west mph many allegations need people start believing women 
214,214,qnbechtel martinruff Junge Union Die Gruenen Ersetze Klimawandel durch CO L ge lasse die Quelle Trump weg ersetze Chinesen durch Wallstreet Dann kommen sie der Sache n Die Gr nen sind nur auf den Zug aufgesprungen 
215,215,ksorbs What world living Trump done African Americans My God get grip honey learn facts lies trump spits every day SAD 
216,216,Ten Bagger Det sv ra fr gest llningen r att evaluera CB ingrepp ekonomin bortom r ntan dvs QE Om man ser p historiska grafer var f ruts ttningarna annorlunda Mots ger inte tesen saknar sj lv kompass kurs nu Sv rt att rita en trendgraf p Trump 
217,217,Guess I know Trump latest sexual assault accuser lying It happened years ago There witnesses She file charges She wrote book She looks like Gary Busey There needs harsh penalties false accusers like 
218,218,THREAD Here list women credibly accused Trump rape sexual misconduct Please Retweet Jill Harth says groped kissed bedroom Mar A Lago https co EfWBiOPFFs 
